Item,Tag,Median_Price,Std_Dev,Available_Months
Bananas per kg,Healthy,1.407,0.14448896004513603,137
Best back rashers per kg,Unhealthy,9.875,0.6122491389606091,137
"Bread, brown sliced pan, large (800g)",Neutral,1.467,0.19378701795980877,137
"Bread, white sliced pan, large (800g)",Unhealthy,1.299,0.15547587995764658,137
Broccoli per kg,Healthy,2.896,0.24819227425958842,137
"Brown, wholemeal flour per 2 kg",Healthy,1.481,0.06909614721611955,137
Butter per lb,Unhealthy,6.647577092511012,1.082749994653623,137
Carrots per kg,Healthy,1.236,0.08681883797240383,137
Cooked ham per kg,Unhealthy,18.087,1.2153659308882787,137
Fresh fillet of cod per kg,Healthy,17.212,2.3001903442061544,137
Fresh salmon per kg,Healthy,21.148,2.0874031189547275,137
Full fat milk per 2 litre,Neutral,0.856,0.11905689344228279,137
Grapes per kg,Healthy,5.037,0.2928153263943068,137
Ham fillet per kg,Neutral,5.773,0.45194258940925364,137
Irish cheddar per kg,Neutral,10.092,0.7002986783821282,137
Jam per lb,Unhealthy,2.416299559471365,0.6501174737032295,137
Lamb - whole leg / half leg per kg,Healthy,12.075,1.4628294908718977,137
Lamb loin chops per kg,Healthy,18.205,2.0875938846793933,137
Large eggs per half dozen,Healthy,1.783,0.18666832353100368,137
Low fat milk per 1 litre,Healthy,1.049,0.10715629798741867,137
Marmalade per lb,Unhealthy,4.251101321585902,0.24707432660662165,137
Medium eggs per half dozen,Healthy,1.485,0.1433593741426519,137
Mushrooms per kg,Healthy,3.966,0.3562580807426843,137
Onions per kg,Healthy,1.2,0.20692923201693167,137
Orange juice per litre,Neutral,1.46,0.1349980801510991,137
Pork loin chops per kg,Healthy,8.098,0.5418756678179237,137
Pork sausages per kg,Unhealthy,6.188,0.4620907707591461,137
Pork steak per kg,Healthy,9.051,0.4005536448630224,137
Potatoes 2.5 kg,Healthy,1.3592000000000002,0.12443756230671739,137
Roast beef - topside or rib per kg,Healthy,13.003,0.7615677108924305,137
Sirloin steak per kg,Healthy,15.8,1.0851749737225866,137
Sliced / diced beef pieces per kg,Healthy,10.491,0.5366917932445242,137
Smoked salmon per kg,Neutral,32.148,2.990097265392032,137
Spaghetti per 500g,Neutral,2.204,0.3291814874746246,137
Striploin steak per kg,Healthy,21.705,1.4996990750816572,137
Tea bags per 80,Neutral,2.788,0.17063083300557672,137
Tomatoes per kg,Healthy,3.23,0.2532900552379399,137
Tomatoes tinned per 400g,Healthy,2.245,0.27232610799784074,137
Uncooked chicken medium size 1.6kg,Healthy,3.05125,0.28961555876139883,137
White granulated sugar per 1 kg,Unhealthy,1.288,0.2430156352367369,137
"White, self raising flour per 2 kg",Neutral,1.1465,0.09313671710559372,137
